# (c) Martin Lellep 2021; This sample data file belongs to my project "Cycling in Marburg" (http://lellep.xyz/blog/cycling-in-marburg-1-intro.html)
timestamp,Aquamar,Biegenstraße/Cineplex,Elisabeth-Blochmann-Platz,Stadtbüro,Wehrda Bürgerhaus
2020-06-06 05:02:31.489775,3,0,7,2,4
2020-06-06 05:03:06.982474,3,0,7,2,4
2020-06-06 05:03:42.579996,3,0,7,2,4
2020-06-06 05:04:18.222642,3,0,7,2,4
2020-06-06 05:04:53.777802,3,0,7,2,4
2020-06-06 05:05:29.219878,3,0,7,2,4
2020-06-06 05:06:04.951368,3,0,7,2,4
2020-06-06 05:06:40.747621,3,0,7,2,4
2020-06-06 05:07:16.298380,3,0,7,2,4
2020-06-06 05:07:51.792121,3,0,7,2,4
2020-06-06 05:08:27.259220,3,0,7,2,4
2020-06-06 05:09:02.678932,3,0,7,2,4
2020-06-06 05:09:38.161865,3,0,7,2,4
2020-06-06 05:10:13.716584,3,0,7,2,4
2020-06-06 05:10:49.344007,3,0,7,2,4
2020-06-06 05:11:24.945244,3,0,7,2,4
2020-06-06 05:12:00.455087,3,0,7,2,4
2020-06-06 05:12:35.976592,3,0,7,2,4
2020-06-06 05:13:11.512359,3,0,7,2,4
2020-06-06 05:13:47.142847,3,0,7,2,4
2020-06-06 05:14:22.703140,3,0,7,2,4
2020-06-06 05:14:58.246620,3,0,7,2,4
2020-06-06 05:15:33.856646,3,0,7,2,4
2020-06-06 05:16:09.422790,3,0,7,2,4
2020-06-06 05:16:44.915369,3,0,7,2,4
2020-06-06 05:17:20.444333,3,0,7,2,4
2020-06-06 05:17:56.039070,3,0,7,2,4
2020-06-06 05:18:31.576855,3,0,7,2,4
2020-06-06 05:19:07.089878,3,0,7,2,4
2020-06-06 05:19:42.636761,3,0,7,2,4
2020-06-06 05:20:18.143885,3,0,7,2,4
2020-06-06 05:20:53.734107,3,0,7,2,4
2020-06-06 05:21:29.495255,3,0,7,2,4
2020-06-06 05:22:05.392422,3,0,7,2,4
2020-06-06 05:22:41.238225,3,0,7,2,4
2020-06-06 05:23:16.890510,3,0,7,2,4
2020-06-06 05:23:52.553944,3,0,7,2,4
2020-06-06 05:24:28.174152,3,0,7,2,4
2020-06-06 05:25:03.738860,3,0,7,2,4
2020-06-06 05:25:39.409260,3,0,7,2,4
2020-06-06 05:26:15.238503,3,0,7,2,4
2020-06-06 05:26:50.919565,3,0,7,2,4
2020-06-06 05:27:26.449017,3,0,7,2,4
2020-06-06 05:28:02.094709,3,0,7,2,4
2020-06-06 05:28:37.766098,3,0,7,2,4
2020-06-06 05:29:13.391203,3,0,7,2,4
2020-06-06 05:29:48.998324,3,0,7,2,4
2020-06-06 05:30:24.557297,3,0,7,2,4
2020-06-06 05:31:00.133933,3,0,7,2,4
2020-06-06 05:31:35.745991,3,0,7,2,4
2020-06-06 05:32:11.340719,3,0,7,2,4
2020-06-06 05:32:46.984774,3,0,7,2,4
2020-06-06 05:33:22.608499,3,0,7,2,4
2020-06-06 05:33:58.252375,3,0,7,2,4
2020-06-06 05:34:33.892817,3,0,7,2,4
2020-06-06 05:35:09.436806,3,0,7,2,4
2020-06-06 05:35:44.988574,3,0,7,2,4
2020-06-06 05:36:20.646261,3,0,7,2,4
2020-06-06 05:36:56.349545,3,0,7,2,4
2020-06-06 05:37:31.961258,3,0,7,2,4
2020-06-06 05:38:07.565827,3,0,7,2,4
2020-06-06 05:38:43.259757,3,0,7,2,4
2020-06-06 05:39:18.890550,3,0,7,2,4
2020-06-06 05:39:54.441213,3,0,7,2,4
2020-06-06 05:40:30.021743,3,0,7,2,4
2020-06-06 05:41:05.827406,3,0,7,2,4
2020-06-06 05:41:41.657097,3,0,7,2,4
2020-06-06 05:42:17.188546,3,0,7,2,4
2020-06-06 05:42:52.686541,3,0,7,2,4
2020-06-06 05:43:28.184712,3,0,7,2,4
2020-06-06 05:44:04.304204,3,0,7,2,4
2020-06-06 05:44:40.389669,3,0,7,2,4
2020-06-06 05:45:15.908064,3,0,7,2,4
2020-06-06 05:45:51.671207,3,0,7,2,4
2020-06-06 05:46:27.458918,3,0,7,2,4
2020-06-06 05:47:03.171399,3,0,7,2,4
2020-06-06 05:47:38.837373,3,0,7,2,4
2020-06-06 05:48:14.411606,3,0,7,2,4
2020-06-06 05:48:50.094670,3,0,7,2,4
2020-06-06 05:49:25.791811,3,0,7,2,4
2020-06-06 05:50:01.503350,3,0,7,2,4
2020-06-06 05:50:37.183461,3,0,7,2,4
2020-06-06 05:51:12.860117,3,0,7,2,4
2020-06-06 05:51:48.458929,3,0,7,2,4
2020-06-06 05:52:24.053658,3,0,7,2,4
2020-06-06 05:52:59.673704,3,0,7,2,4
2020-06-06 05:53:35.284498,3,0,7,2,4
2020-06-06 05:54:10.918695,3,0,7,2,4
2020-06-06 05:54:46.536371,3,0,7,2,4
2020-06-06 05:55:22.110760,3,0,7,2,4
2020-06-06 05:55:57.720101,3,0,7,2,4
2020-06-06 05:56:33.340078,3,0,7,2,4
2020-06-06 05:57:08.888210,3,0,7,2,4
2020-06-06 05:57:44.461491,3,0,7,2,4
2020-06-06 05:58:20.100300,3,0,7,2,4
2020-06-06 05:58:55.765474,3,0,7,2,4
2020-06-06 05:59:31.441537,3,0,7,2,4
2020-06-06 06:00:07.223373,3,0,7,2,4
2020-06-06 06:00:42.968480,3,0,7,2,4
2020-06-06 06:01:18.608824,3,0,7,2,4
2020-06-06 06:01:54.280686,3,0,7,2,4
2020-06-06 06:02:29.988306,3,0,7,2,4
2020-06-06 06:03:05.673280,3,0,7,2,4
2020-06-06 06:03:41.313587,3,0,7,2,4
2020-06-06 06:04:16.899375,3,0,7,2,4
2020-06-06 06:04:52.518411,3,0,7,2,4
2020-06-06 06:05:28.116387,3,0,7,2,4
2020-06-06 06:06:03.796504,3,0,7,2,4
2020-06-06 06:06:39.620912,3,0,7,2,4
2020-06-06 06:07:15.339863,3,0,7,2,4
2020-06-06 06:07:50.958355,3,0,7,2,4
2020-06-06 06:08:26.593336,3,0,7,2,4
2020-06-06 06:09:02.255432,3,0,7,2,4
2020-06-06 06:09:37.825318,3,0,7,2,4
2020-06-06 06:10:13.404283,3,0,7,2,4
2020-06-06 06:10:48.967710,3,0,7,2,4
2020-06-06 06:11:24.583320,3,0,7,2,4
2020-06-06 06:12:00.196328,3,0,7,2,4
2020-06-06 06:12:35.729336,3,0,7,2,4
2020-06-06 06:13:11.278574,3,0,7,2,4
2020-06-06 06:13:46.897289,3,0,7,2,4
2020-06-06 06:14:22.489928,3,0,7,2,4
2020-06-06 06:14:58.037956,3,0,7,2,4
2020-06-06 06:15:33.593182,3,0,7,2,4
2020-06-06 06:16:09.149741,3,0,7,2,4
2020-06-06 06:16:44.717401,3,0,7,2,4
2020-06-06 06:17:20.285774,3,0,7,2,4
2020-06-06 06:17:55.838417,3,0,7,2,4
2020-06-06 06:18:31.381401,3,0,7,2,4
2020-06-06 06:19:06.940046,3,0,7,2,4
2020-06-06 06:19:42.490445,3,0,7,2,4
2020-06-06 06:20:18.057277,3,0,7,2,4
2020-06-06 06:20:53.676355,3,0,7,2,4
2020-06-06 06:21:29.291656,3,0,7,2,4
2020-06-06 06:22:05.351239,3,0,7,2,4
2020-06-06 06:22:41.462577,3,0,7,2,4
2020-06-06 06:23:17.057823,3,0,7,2,4
2020-06-06 06:23:52.557337,3,0,7,2,4
2020-06-06 06:24:28.134695,3,0,7,2,4
2020-06-06 06:25:03.810969,3,0,7,2,4
2020-06-06 06:25:39.564906,3,0,7,2,4
2020-06-06 06:26:15.310782,3,0,7,2,4
2020-06-06 06:26:50.994542,3,0,7,2,4
2020-06-06 06:27:26.677120,3,0,7,2,4
2020-06-06 06:28:02.340879,3,0,7,2,4
2020-06-06 06:28:37.923269,3,0,7,2,4
2020-06-06 06:29:13.555629,3,0,7,2,4
2020-06-06 06:29:49.223558,3,0,7,2,4
2020-06-06 06:30:24.848557,3,0,7,2,4
2020-06-06 06:31:00.513590,3,0,7,2,4
2020-06-06 06:31:36.205837,3,0,7,2,4
2020-06-06 06:32:11.853318,3,0,7,2,4
2020-06-06 06:32:47.490491,3,0,7,2,4
2020-06-06 06:33:23.069243,3,0,7,2,4
2020-06-06 06:33:58.583257,3,0,7,2,4
2020-06-06 06:34:34.174005,3,0,7,2,4
2020-06-06 06:35:09.854568,3,0,7,2,4
2020-06-06 06:35:45.544543,3,0,7,2,4
2020-06-06 06:36:21.215560,3,0,7,2,4
2020-06-06 06:36:56.798014,3,0,7,2,4
2020-06-06 06:37:32.376641,3,0,7,2,4
2020-06-06 06:38:08.101784,3,0,7,2,4
2020-06-06 06:38:43.829340,3,0,7,2,4
2020-06-06 06:39:19.432075,3,0,7,2,4
2020-06-06 06:39:55.096405,3,0,7,2,4
2020-06-06 06:40:30.806530,3,0,7,2,4
2020-06-06 06:41:06.596621,3,0,7,2,4
2020-06-06 06:41:42.442142,3,0,7,2,4
2020-06-06 06:42:18.164374,3,0,7,2,4
2020-06-06 06:42:53.821977,3,0,7,2,4
2020-06-06 06:43:29.416089,3,0,7,2,4
2020-06-06 06:44:05.013576,3,0,7,2,4
2020-06-06 06:44:40.603339,3,0,7,2,4
2020-06-06 06:45:16.153608,3,0,7,2,4
2020-06-06 06:45:51.730152,3,0,7,2,4
2020-06-06 06:46:27.355764,3,0,7,2,4
2020-06-06 06:47:03.152243,3,0,7,2,4
2020-06-06 06:47:38.890612,3,0,7,2,4
2020-06-06 06:48:14.504723,3,0,7,2,4
2020-06-06 06:48:50.109076,3,0,7,2,4
2020-06-06 06:49:25.686760,3,0,7,2,4
2020-06-06 06:50:01.259638,3,0,7,2,4
2020-06-06 06:50:36.881651,3,0,7,2,4
2020-06-06 06:51:12.527561,3,0,7,2,4
2020-06-06 06:51:48.157726,3,0,7,2,4
2020-06-06 06:52:23.783281,3,0,7,2,4
2020-06-06 06:52:59.412438,3,0,7,2,4
2020-06-06 06:53:35.062398,3,0,7,2,4
2020-06-06 06:54:10.761149,3,0,7,2,4
2020-06-06 06:54:46.354644,3,0,7,2,4
2020-06-06 06:55:21.938877,3,0,7,2,4
2020-06-06 06:55:57.527535,3,0,7,2,4
2020-06-06 06:56:33.056535,3,0,7,2,4
2020-06-06 06:57:08.738326,3,0,7,2,4
2020-06-06 06:57:44.562585,3,0,7,2,4
2020-06-06 06:58:20.294910,3,0,7,2,4
2020-06-06 06:58:55.911554,3,0,7,2,4
2020-06-06 06:59:31.505819,3,0,7,2,4
2020-06-06 07:00:07.216959,3,0,7,2,4
2020-06-06 07:00:42.886706,3,0,7,2,4
2020-06-06 07:01:18.493145,3,0,7,2,4
2020-06-06 07:01:54.196133,3,0,7,2,4
2020-06-06 07:02:29.802251,3,0,7,2,4
2020-06-06 07:03:05.335366,3,0,7,2,4
2020-06-06 07:03:40.992571,3,0,7,2,4
2020-06-06 07:04:16.676361,3,0,7,2,4
2020-06-06 07:04:52.306792,3,0,7,2,4
2020-06-06 07:05:27.912327,3,0,7,2,4
2020-06-06 07:06:03.702309,3,0,7,2,4
2020-06-06 07:06:39.520953,3,0,7,2,4
2020-06-06 07:07:15.111207,3,0,7,2,4
2020-06-06 07:07:50.728879,3,0,7,2,4
2020-06-06 07:08:26.258677,3,0,7,2,4
2020-06-06 07:09:01.805275,3,0,7,2,4
2020-06-06 07:09:37.473238,3,0,7,2,4
2020-06-06 07:10:13.126284,3,0,7,2,4
2020-06-06 07:10:48.694664,3,0,7,2,4
2020-06-06 07:11:24.207926,3,0,7,2,4
2020-06-06 07:11:59.787136,3,0,7,2,4
2020-06-06 07:12:35.566057,3,0,7,2,4
2020-06-06 07:13:11.336344,3,0,7,2,4
2020-06-06 07:13:46.915516,3,0,7,2,4
2020-06-06 07:14:22.570611,3,0,7,2,4
2020-06-06 07:14:58.185272,3,0,7,2,4
2020-06-06 07:15:33.751471,3,0,7,2,4
2020-06-06 07:16:09.337797,3,0,7,2,4
2020-06-06 07:16:44.905032,3,0,7,2,4
2020-06-06 07:17:20.532049,3,0,7,2,4
2020-06-06 07:17:56.240978,3,0,7,2,4
2020-06-06 07:18:31.909534,3,0,7,2,4
2020-06-06 07:19:07.653159,3,0,7,2,4
2020-06-06 07:19:43.422030,3,0,7,2,4
2020-06-06 07:20:19.111715,3,0,7,2,4
2020-06-06 07:20:54.762737,3,0,7,2,4
2020-06-06 07:21:30.326426,3,0,7,2,4
2020-06-06 07:22:05.994112,3,0,7,2,4
2020-06-06 07:22:41.675654,3,0,7,2,4
2020-06-06 07:23:17.292155,3,0,7,2,4
2020-06-06 07:23:52.983940,3,0,7,2,4
2020-06-06 07:24:28.625938,3,0,7,2,4
2020-06-06 07:25:04.293490,3,0,7,2,4
2020-06-06 07:25:39.946287,3,0,7,2,4
2020-06-06 07:26:15.585706,3,0,7,2,4
2020-06-06 07:26:51.248046,3,0,7,2,4
2020-06-06 07:27:26.870695,3,0,7,2,4
2020-06-06 07:28:02.611273,3,0,7,2,4
2020-06-06 07:28:38.343022,3,0,7,2,4
2020-06-06 07:29:13.907797,3,0,7,2,4
2020-06-06 07:29:49.472732,3,0,7,2,4
2020-06-06 07:30:25.019727,3,0,7,2,4
2020-06-06 07:31:00.614084,3,0,7,2,4
2020-06-06 07:31:36.280432,3,0,7,2,4
2020-06-06 07:32:11.850565,3,0,7,2,4
2020-06-06 07:32:47.401978,3,0,7,2,4
2020-06-06 07:33:22.974236,3,0,7,2,4
2020-06-06 07:33:58.563416,3,0,7,2,4
2020-06-06 07:34:34.140833,3,0,7,2,4
2020-06-06 07:35:09.718429,3,0,7,2,4
2020-06-06 07:35:45.272719,3,0,7,2,4
2020-06-06 07:36:20.884373,3,0,7,2,4
2020-06-06 07:36:56.586162,3,0,7,2,4
2020-06-06 07:37:32.285769,3,0,7,2,4
2020-06-06 07:38:08.162082,3,0,7,2,4
2020-06-06 07:38:43.956364,3,0,7,2,4
2020-06-06 07:39:19.622639,3,0,7,2,4
2020-06-06 07:39:55.444635,3,0,6,2,4
2020-06-06 07:40:31.219662,3,0,6,2,4
2020-06-06 07:41:06.918227,3,0,6,2,4
2020-06-06 07:41:42.626367,3,0,6,2,4
2020-06-06 07:42:18.328535,3,0,6,2,4
2020-06-06 07:42:54.084648,3,0,6,2,4
2020-06-06 07:43:29.786833,3,0,6,2,4
2020-06-06 07:44:05.624649,3,0,6,2,4
2020-06-06 07:44:41.427620,3,0,6,2,4
2020-06-06 07:45:17.110139,3,0,6,2,4
2020-06-06 07:45:52.753705,3,0,6,2,4
2020-06-06 07:46:28.478279,3,0,6,2,4
2020-06-06 07:47:04.202149,3,0,6,2,4
2020-06-06 07:47:39.799637,3,0,6,2,4
2020-06-06 07:48:15.520069,3,0,6,2,4
2020-06-06 07:48:51.293962,3,0,6,2,4
2020-06-06 07:49:27.021482,3,0,6,2,4
2020-06-06 07:50:02.992743,3,0,6,2,4
2020-06-06 07:50:39.005726,3,0,6,2,4
2020-06-06 07:51:14.786600,3,0,6,2,4
2020-06-06 07:51:50.529963,3,0,6,2,4
2020-06-06 07:52:26.239496,3,0,6,2,4
2020-06-06 07:53:01.945230,3,0,6,2,4
2020-06-06 07:53:37.627474,3,0,6,2,4
2020-06-06 07:54:13.329135,3,0,6,2,4
2020-06-06 07:54:49.021172,3,0,6,2,4
2020-06-06 07:55:24.686848,3,0,6,2,4
2020-06-06 07:56:00.415091,3,0,6,2,4
2020-06-06 07:56:36.164961,3,0,6,2,4
2020-06-06 07:57:11.878236,3,0,6,2,4
2020-06-06 07:57:47.607358,3,0,6,2,4
2020-06-06 07:58:23.237967,3,0,6,2,4
2020-06-06 07:58:58.789437,3,0,6,2,4
2020-06-06 07:59:34.324190,3,0,6,2,4
2020-06-06 08:00:09.869605,3,0,6,2,4
2020-06-06 08:00:45.461776,3,0,6,2,4
2020-06-06 08:01:21.149552,3,0,6,2,4
2020-06-06 08:01:56.794785,3,0,6,2,4
2020-06-06 08:02:32.428341,3,0,6,2,4
2020-06-06 08:03:08.143209,3,0,6,2,4
2020-06-06 08:03:43.824131,3,0,6,2,4
2020-06-06 08:04:19.582531,3,0,6,2,4
2020-06-06 08:04:55.316791,3,0,6,2,4
2020-06-06 08:05:30.910398,3,0,6,2,4
2020-06-06 08:06:06.675971,3,0,6,2,4
2020-06-06 08:06:42.481215,3,0,6,2,4
2020-06-06 08:07:18.195650,3,0,6,2,4
2020-06-06 08:07:53.835138,3,0,6,2,3
2020-06-06 08:08:29.488917,3,0,6,2,3
2020-06-06 08:09:05.154365,3,0,6,2,3
2020-06-06 08:09:40.740289,3,0,6,2,3
2020-06-06 08:10:16.273737,3,0,6,2,3
2020-06-06 08:10:52.027194,3,0,6,2,3
2020-06-06 08:11:27.836782,3,0,6,2,3
2020-06-06 08:12:03.447914,3,0,6,2,3
2020-06-06 08:12:39.083594,3,0,6,2,3
2020-06-06 08:13:14.757596,3,0,6,2,3
2020-06-06 08:13:50.408138,3,0,6,2,3
